location,visit_count
Katerinas Café,212
Hippokampos,171
Guy's Gyros,158
Brew've Been Served,156
Hallowed Grounds,92
Ouzeri Elian,87
Abila Zacharo,72
Gelatogalore,64
Kalami Kafenion,64
Bean There Done That,47
Frydos Autosupply n' More,47
Coffee Cameleon,38
Jack's Magical Beans,37
Brewed Awakenings,30
Albert's Fine Clothing,25
Abila Airport,25
Nationwide Refinery,24
Shoppers' Delight,20
Carlyle Chemical Inc.,19
Stewart and Sons Fabrication,18
Kronos Mart,10
General Grocer,10
Chostus Hotel,9
Desafio Golf Course,8
Coffee Shack,8
Roberts and Sons,8
Kronos Pipe and Irrigation,6
Maximum Iron and Steel,6
Ahaggo Museum,6
Abila Scrapyard,4
Octavio's Office Supplies,4
U-Pump,2
Frank's Fuel,2
Daily Dealz,1
