last4ccnum,num_purchases,num_unique_vehicles,no_match_purchases,vehicles_matched,primary_vehicle,primary_vehicle_matches,match_ratio_to_primary,status
4795,32,5,27,"{101, 6, 104, 16, 19}",101,2,0.0625,0-20% Very Weak
7108,30,8,22,"{32, 33, 5, 6, 11, 107, 18, 29}",11,3,0.1,0-20% Very Weak
6816,30,5,25,"{34, 104, 16, 21, 28}",16,1,0.03333333333333333,0-20% Very Weak
9617,31,5,25,"{32, 34, 9, 19, 29}",32,2,0.06451612903225806,0-20% Very Weak
7384,33,4,29,"{11, 2, 19, 20}",2,1,0.030303030303030304,0-20% Very Weak
5368,35,6,29,"{15, 16, 17, 24, 25, 29}",25,2,0.05714285714285714,0-20% Very Weak
7253,30,2,28,"{16, 32}",16,1,0.03333333333333333,0-20% Very Weak
4948,30,9,22,"{34, 5, 104, 12, 18, 21, 25, 29, 30}",25,2,0.06666666666666667,0-20% Very Weak
9683,28,5,23,"{32, 105, 15, 26, 28}",28,1,0.03571428571428571,0-20% Very Weak
8129,32,6,26,"{33, 5, 104, 13, 24, 25}",13,2,0.0625,0-20% Very Weak
3492,29,5,24,"{1, 5, 11, 17, 29}",17,1,0.034482758620689655,0-20% Very Weak
5921,14,3,11,"{33, 17, 15}",15,1,0.07142857142857142,0-20% Very Weak
9405,32,6,26,"{3, 5, 18, 25, 28, 29}",29,2,0.0625,0-20% Very Weak
7889,30,8,21,"{32, 33, 34, 6, 11, 16, 21, 24}",34,2,0.06666666666666667,0-20% Very Weak
2142,33,5,28,"{32, 35, 4, 7, 23}",32,1,0.030303030303030304,0-20% Very Weak
2681,29,4,25,"{32, 25, 26, 8}",32,1,0.034482758620689655,0-20% Very Weak
9551,28,5,24,"{32, 33, 6, 22, 28}",33,1,0.03571428571428571,0-20% Very Weak
3484,35,4,31,"{32, 34, 18, 5}",5,2,0.05714285714285714,0-20% Very Weak
7819,34,6,26,"{32, 10, 11, 18, 24, 25}",11,2,0.058823529411764705,0-20% Very Weak
5407,31,3,28,"{33, 106, 26}",106,1,0.03225806451612903,0-20% Very Weak
6691,26,5,21,"{32, 2, 6, 28, 30}",30,1,0.038461538461538464,0-20% Very Weak
1874,32,7,27,"{33, 5, 104, 11, 19, 21, 25}",5,1,0.03125,0-20% Very Weak
3853,33,6,27,"{7, 14, 16, 17, 24, 28}",16,1,0.030303030303030304,0-20% Very Weak
4434,32,3,29,"{32, 25, 104}",32,1,0.03125,0-20% Very Weak
6901,37,2,35,"{26, 6}",6,1,0.02702702702702703,0-20% Very Weak
2418,28,1,27,{28},28,1,0.03571428571428571,0-20% Very Weak
1286,32,8,23,"{32, 33, 106, 16, 21, 24, 25, 26}",21,2,0.0625,0-20% Very Weak
8411,32,2,30,"{25, 29}",25,1,0.03125,0-20% Very Weak
8202,33,3,30,"{32, 26, 20}",32,1,0.030303030303030304,0-20% Very Weak
9220,10,1,9,{107},107,1,0.1,0-20% Very Weak
9735,18,0,18,set(),None,0,0.0,No Match
7117,31,3,27,"{16, 19, 29}",19,2,0.06451612903225806,0-20% Very Weak
1415,31,2,29,"{16, 19}",19,1,0.03225806451612903,0-20% Very Weak
9635,28,2,26,"{16, 19}",19,1,0.03571428571428571,0-20% Very Weak
7688,34,6,27,"{2, 16, 19, 23, 25, 29}",16,2,0.058823529411764705,0-20% Very Weak
6899,30,4,25,"{16, 105, 10, 19}",16,2,0.06666666666666667,0-20% Very Weak
2540,31,2,28,"{16, 19}",16,2,0.06451612903225806,0-20% Very Weak
1877,30,3,26,"{16, 107, 19}",16,2,0.06666666666666667,0-20% Very Weak
8332,36,4,31,"{16, 27, 19, 8}",16,2,0.05555555555555555,0-20% Very Weak
1321,32,2,29,"{16, 19}",16,2,0.0625,0-20% Very Weak
6895,31,2,28,"{16, 19}",16,2,0.06451612903225806,0-20% Very Weak
9241,19,4,14,"{16, 19, 13, 30}",16,2,0.10526315789473684,0-20% Very Weak
8156,34,4,28,"{16, 19, 21, 14}",19,2,0.058823529411764705,0-20% Very Weak
2463,32,6,25,"{6, 104, 16, 19, 25, 30}",16,2,0.0625,0-20% Very Weak
8642,15,1,14,{105},105,1,0.06666666666666667,0-20% Very Weak
7354,33,4,29,"{33, 34, 15, 7}",7,1,0.030303030303030304,0-20% Very Weak
1310,33,9,23,"{32, 33, 11, 17, 19, 20, 21, 25, 29}",33,2,0.06060606060606061,0-20% Very Weak
3506,11,1,10,{104},104,1,0.09090909090909091,0-20% Very Weak
7792,25,1,24,{105},105,1,0.04,0-20% Very Weak
2276,12,1,11,{24},24,1,0.08333333333333333,0-20% Very Weak
4530,10,2,7,"{24, 18}",18,2,0.2,20-40% Weak
9152,4,0,4,set(),None,0,0.0,No Match
9614,4,0,4,set(),None,0,0.0,No Match
3547,20,2,18,"{32, 34}",32,1,0.05,0-20% Very Weak
5010,5,1,4,{15},15,1,0.2,20-40% Weak
